,布腹,GOOG,AMZN,MSFT,AAPL,META,NFLX
0,カ,1.356T,1.012T,2.067T,2.515T,529.624B,142.676B
1,セ﹗,-14.60%,157.90%,0.50%,-5.90%,-27.20%,-19.00%
2,﹗,5.00%,265.00%,10.80%,3.30%,-4.50%,-4.10%
3,セ,10.50%,625.90%,1.60%,-2.50%,13.40%,15.40%
4,,20.80%,76.80%,14.90%,10.90%,23.30%,25.30%
5,き,15.51%,-278.70%,11.90%,8.13%,3.97%,15.97%
6,玡き,23.35%,9.44%,22.54%,21.91%,7.22%,32.55%
7,箇︳PE,31,-557,24,16,8,32
8,23EPS,4.16,0.18,9.02,5.38,6.65,9.5
9,23瞶基,129,-100,216,86,53,304
10,24EPS,4.89,1.26,9.66,5.62,8.06,11.62
11,24瞶基,152,-702,232,90,64,372
12,きPE MIN,17,42,23,12,8,15
13,きPE MEDIAN,28,81,32,24,26,84
14,きPE MAX,59,253,60,42,37,280
15,きPE程基,71,8,207,65,53,142
16,きPEい基,116,15,289,129,173,798
17,きPE程蔼基,245,46,541,226,246,2660
18,基,104.22,98.7,272.29,157.83,199.81,293.9
19,畉κだゑ,10%,-558%,6%,-22%,-15%,63%
